No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
2,,浜崎勇矢,2,■,■,,,,3,0,1,0.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
4,,阿部航平,3,■,■,■,,,9,5,0,55.6,1.67,0,0,0,-,0,-,8,0,1,2,3.1,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
5,,廣瀬優希,3,■,■,■,,,15,5,2,33.3,1.67,0,0,0,-,7,2.33,7,0,3,3,0.0,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
6,,瀧澤陽紀,3,□,■,■,,,19,5,2,26.3,1.67,1,1,0,100.0,2,0.67,10,0,3,1,-5.0,19,7.0,5.0,50.0,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
8,,曹海倫,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
10,,鎌田敏弥,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
12,,土井友登,2,,□,■,,,0,0,0,-,-,0,0,0,-,0,-,7,0,0,1,3.6,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
13,L,新垣東麻,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
14,,勝本真太郎,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
20,,満生大輝,1,■,,,,,1,1,0,100.0,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,6,3.0,3.0,75.0,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
22,L,関谷拓巳,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,9.0,7.0,59.5,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
23,,曽田一也,3,■,■,■,,,5,1,1,20.0,0.33,0,0,0,-,0,-,9,0,0,0,0.0,22,11.0,6.0,63.6,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
26,,鈴木匡教,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,59,75,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Home
1,,エバデダンジェフリー　宇意,3,■,■,■,,,9,4,1,44.4,1.33,0,0,0,-,1,0.33,10,1,0,4,20.0,1,0.0,1.0,50.0,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
2,,松坂洸汰,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
4,,柳田百織,3,■,■,■,,,36,22,1,61.1,7.33,12,7,1,58.3,0,-,17,1,2,5,10.3,1,1.0,0.0,100.0,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
5,,吉田綜眞,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
6,L,小林慎平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,11,7.0,3.0,77.3,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
7,,加藤大雄,3,■,■,■,,,5,4,0,80.0,1.33,0,0,0,-,0,-,10,0,1,2,2.5,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
10,,岡村義郎,1,,,□,,,3,2,0,66.7,2.00,0,0,0,-,0,-,3,0,0,0,0.0,1,0.0,1.0,50.0,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
11,,浅野卓雅,3,■,■,■,,,22,8,1,36.4,2.67,1,0,0,0.0,0,-,9,0,1,2,2.8,19,7.0,8.0,57.9,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
13,,兵頭佳樹,3,■,■,■,,,9,5,0,55.6,1.67,0,0,0,-,1,0.33,14,0,1,3,3.6,18,7.0,5.0,52.8,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
16,,米澤寛武,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
17,,角大樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
18,,長谷山拓,3,■,■,■,,,2,2,0,100.0,0.67,0,0,0,-,2,0.67,10,0,0,1,2.5,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
19,L,尾木将,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
20,,志波京介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,510,2020-11-01,2020,11,01,茨城県,霞ヶ浦文化体育会館,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,59,72,14:35,15:53,663,利根川忠史,慈眼雅啓,山崎公寛,須永智紀,Away
1,,上場雄也,4,■,■,■,■,,36,19,4,52.8,4.75,19,10,2,52.6,0,-,24,2,4,8,12.5,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
2,,浜崎勇矢,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,1,0.25,11,0,0,6,13.6,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
4,,阿部航平,4,■,■,■,■,,7,4,1,57.1,1.00,0,0,0,-,3,0.75,10,0,0,2,5.0,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
5,,廣瀬優希,4,■,■,■,■,,17,11,1,64.7,2.75,0,0,0,-,4,1.00,16,3,2,3,20.3,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
6,,瀧澤陽紀,4,■,■,■,■,,17,11,2,64.7,2.75,1,1,0,100.0,1,0.25,16,1,1,5,12.5,16,6.0,8.0,62.5,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
8,,曹海倫,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
10,,鎌田敏弥,4,□,□,□,□,,7,5,1,71.4,1.25,0,0,0,-,0,-,1,0,0,1,25.0,2,1.0,0.0,50.0,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
12,,土井友登,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
13,L,新垣東麻,3,,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
14,,勝本真太郎,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,3,18.8,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
16,,松田康河,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
22,L,関谷拓巳,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,9.0,6.0,42.9,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
23,,曽田一也,4,■,■,■,■,,16,3,2,18.8,0.75,0,0,0,-,1,0.25,13,1,2,4,11.5,22,11.0,4.0,59.1,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
26,,鈴木匡教,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,3,1,4,Win,96,88,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Home
2,L,神園時,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,7.0,7.0,55.3,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
3,,河西智洋,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
4,,奥田基嗣,4,■,■,■,■,,5,3,0,60.0,0.75,0,0,0,-,0,-,10,1,3,1,5.0,2,1.0,0.0,50.0,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
5,,吉田康祐,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
6,,阿部誠樹,4,■,■,■,■,,24,10,1,41.7,2.50,1,0,1,0.0,0,-,17,1,6,6,5.9,30,10.0,7.0,45.0,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
7,,笠原佑斗,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
8,,清水久雄,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
14,,山口拓馬,4,□,□,□,□,,6,4,0,66.7,1.00,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
16,L,桝谷周呈,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
17,,森元貴哉,4,■,■,■,■,,22,14,1,63.6,3.50,4,2,0,50.0,2,0.50,13,0,0,7,13.5,29,7.0,10.0,41.4,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
20,,佐藤陸善,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,3,0.75,12,1,1,3,12.5,1,0.0,0.0,0.0,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
21,,柿崎充,4,■,■,■,■,,37,19,4,51.4,4.75,12,4,2,33.3,2,0.50,13,0,6,2,-7.7,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
22,,柏田樹,4,■,■,■,■,,10,4,0,40.0,1.00,0,0,0,-,2,0.50,15,0,1,1,0.0,1,1.0,0.0,100.0,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
26,,長屋梓,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,7,1,1,2,17.9,0,0.0,0.0,-,511,2020-11-07,2020,11,07,北海道,砂川市総合体育館,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,,1,3,4,Lose,88,96,98,10:00,11:47,259,大江憲一,坂本雅春,小瀧健二,藤原啓子,Away
0,,越川優,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
2,,山口功太郎,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
3,,田城貴之,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
5,,家近滉一,3,■,■,■,,,16,8,1,50.0,2.67,3,2,1,66.7,0,-,12,0,1,1,0.0,15,5.0,4.0,46.7,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
6,,本澤凌斗,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,13,1,3,7,15.4,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
9,,加藤伊織,3,■,■,■,,,7,5,0,71.4,1.67,0,0,0,-,1,0.33,11,0,1,2,2.3,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
10,L,白石啓丈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,10.0,2.0,68.8,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
11,L,藤村昇太,2,,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
13,,佐々木博秋,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
14,,張育陞,3,■,■,■,,,25,17,1,68.0,5.67,16,12,1,75.0,1,0.33,18,3,5,7,19.4,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
17,,辰巳遼,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
18,,後藤万澄,3,■,■,■,,,12,8,0,66.7,2.67,0,0,0,-,1,0.33,10,1,0,5,22.5,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
20,,戸田拓也,3,■,■,■,,,15,7,2,46.7,2.33,1,0,0,0.0,0,-,15,2,5,5,13.3,25,15.0,7.0,74.0,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
23,,田城広光,2,,□,□,,,3,1,0,33.3,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,512,2020-11-07,2020,11,07,北海道,砂川市総合体育館,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,81,66,78,13:30,15:01,383,大江憲一,上総向貴,藤井靖香,佐藤真理,Home
